[WARNING] 2026-05-24 08:53:45,000 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:53:46,013 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:53:47,027 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:53:48,036 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:53:49,047 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:53:50,055 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:53:51,067 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:53:52,080 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:53:53,092 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:53:54,104 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:53:55,109 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:53:56,119 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:53:57,130 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:53:58,144 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:53:59,155 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:00,164 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:01,174 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:02,183 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:03,194 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:04,204 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:05,216 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:06,230 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:07,232 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:08,245 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:09,260 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:10,265 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:11,265 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:12,282 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:13,296 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:14,308 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:15,314 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:16,326 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:17,337 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:18,350 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:19,362 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:20,377 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:21,385 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:22,390 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:23,398 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:24,409 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:25,409 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:26,422 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:27,426 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:28,441 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:29,449 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:30,451 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:31,462 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:32,474 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:33,487 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:34,494 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:35,506 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:36,520 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:37,535 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:38,548 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:39,561 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:40,570 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:41,585 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:42,599 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:43,612 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:44,620 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:45,628 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:46,637 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:47,637 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:48,646 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:49,655 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:50,667 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:51,682 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:52,694 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:53,704 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:54,718 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:55,731 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:56,744 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:57,756 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:58,764 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:54:59,779 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:00,786 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:01,799 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:02,805 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:03,817 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:04,821 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:05,830 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:06,843 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:07,849 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:08,860 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:09,868 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:10,870 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:11,881 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:12,894 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:13,897 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:14,906 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:15,921 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:16,922 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:17,932 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:18,941 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:19,955 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:20,965 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:21,971 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:22,983 | Worker unhealthy | name=CameraWorker | reason=failed
